voice                lightning_v3.1     lightning_v3.1_pro
------------------------------------------------------------
sophia               200                400               
robert               200                400               
advika               200                400               
vivaan               200                400               
camilla              200                400               
zorin                200                400               
emily                400                400               
raj                  400                400               
aria                 400                400               
lightning            400                400               
thunder              400                400               
breeze               400                400               
storm                400                400               
spanish-female-1     400                400               
french-male-1        400                400               
devansh              200                400               
meher                400                200               
